,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1142784063,0,3,2,-37.8103641,144.9802698,-37.8218102,144.9518698,3115.0,2018-02-21,18:29:14,877.6799999999998,18:43:51,7.57
ID3393042705,1,9,4,-38.1109156,144.6541725,-37.8086578,144.9933375,46433.0,2018-04-27,18:29:32,11177.700000000004,21:35:49,58.98
ID3311001251,1,4,8,-37.8045464,144.9999847,-37.8158343,145.04645,4900.0,2018-05-15,12:57:17,1515.06,13:22:32,19.49
ID3951840876,1,9,2,-38.1109156,144.6541725,-37.8184279,144.9484572,41832.0,2018-27-04,11:44:51,10045.56,14:32:16,48.86
ID5847831982,2,7,6,-37.8618349,144.905716,-37.7874325,144.9803767,11633.0,2018-05-02,20:23:25,3645.299999999998,21:24:10,265.77
ID1201466763,0,3,5,-37.8109456,144.9780495,-37.8111596,144.9295583,5564.0,2018-05-28,17:48:02,1422.1200000000003,18:11:44,9.12
ID1600173556,0,2,8,-37.8251545,144.9467465,-37.8158343,145.04645,9524.0,2018-03-21,15:49:42,2741.9400000000005,16:35:23,12.24
ID1435416920,0,4,9,-37.8009652,145.0120164,-38.1109156,144.6541725,48440.0,2018-02-23,01:07:46,11828.939999999999,4:24:54,27.52
ID3842236758,1,4,8,-37.8038926,145.0038247,-37.8158343,145.04645,5250.0,2018-01-10,18:10:32,1613.2199999999998,18:37:25,15.04
ID3240972611,1,6,7,-37.7874325,144.9803767,-37.8618349,144.905716,11633.0,2018-25-07,22:46:17,3663.780000000001,23:47:20,34.03
ID3121335144,1,3,6,-37.8167163,145.0071935,-37.7874421,144.9804091,5486.0,2018-02-24,01:50:30,1367.5200000000004,2:13:17,25.84
ID3445882345,1,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-05-06,05:11:55,13204.979999999994,8:51:59,79.88
ID1439868360,0,4,6,-37.8127565,145.0102815,-37.7874421,144.9804091,5403.0,2018-04-02,21:56:16,1387.02,22:19:23,14.84
ID1112951610,0,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-02-25,06:38:30,13204.979999999994,10:18:34,27.73
ID1627485774,0,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-07-14,04:16:46,13173.359999999999,7:56:19,36.79
ID3299581020,1,9,5,-38.1109156,144.6541725,-37.804452,144.9262237,44170.0,2018-04-11,03:55:43,10637.999999999998,6:53:01,61.33
ID1801460229,0,3,9,-37.8134111,144.9738114,-38.1109156,144.6541725,44329.0,2018-25-04,07:07:48,10607.099999999999,10:04:35,18.83
ID1199745772,0,4,9,-37.8105932,145.0007346,-38.1109156,144.6541725,46970.0,2018-03-07,19:16:53,11362.199999999999,22:26:15,25.73
ID3566012020,1,3,4,-37.8194857,145.0082458,-37.8011208,145.0052964,2440.0,2018-22-03,05:07:30,614.52,5:17:44,19.25
ID3579005080,1,6,3,-37.7907967,144.985865,-37.8111449,144.9784763,2597.0,2018-06-06,17:19:41,769.44,17:32:30,15.23
ID1179831671,0,3,9,-37.8193205,145.0022575,-38.1109156,144.6541725,47030.0,2018-02-03,08:20:13,11431.02,11:30:44,24.74
ID1199759705,0,6,5,-37.7874325,144.9803767,-37.8167317,144.9274527,7461.0,2018-01-05,22:06:04,1880.7600000000007,22:37:24,14.96
ID3401719730,1,9,8,-38.1109156,144.6541725,-37.807202,145.0266373,49777.0,2018-23-07,03:42:49,12099.660000000003,7:04:28,66.77
ID1950617548,0,4,7,-37.8101377,144.9965834,-37.8618349,144.905716,10736.0,2018-07-23,08:46:53,3558.42,9:46:11,10.89
ID1824459220,0,6,9,-37.7874421,144.9804091,-38.1109156,144.6541725,47035.0,2018-28-05,15:37:00,11407.859999999999,18:47:07,28.54
ID5834559392,2,4,3,-37.8046753,144.99815,-37.8125384,144.9742711,2979.0,2018-02-01,16:26:02,712.14,16:37:54,68.61
ID1301104795,0,3,8,-37.8207881,144.979309,-37.8158343,145.04645,7072.0,2018-26-02,04:17:56,2112.3,4:53:08,15.42
ID1733136847,0,5,7,-37.8052448,144.9373053,-37.8618349,144.905716,10724.0,2018-06-19,14:09:11,3482.9400000000005,15:07:13,11.21
ID3506158882,1,1,6,-37.8040778,144.9535933,-37.7907967,144.985865,4365.0,2018-06-31,07:52:53,1220.7600000000004,8:13:13,10.76
ID1181905225,0,1,4,-37.8130868,144.9634825,-37.8148877,145.0076372,4398.0,2018-04-28,20:26:50,1034.94,20:44:04,14.16
ID5220673070,2,2,4,-37.8145831,144.9382378,-37.8054523,145.0005859,6115.0,2018-04-31,05:27:54,1562.4000000000003,5:53:56,136.31
ID3769386991,1,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-05-07,18:42:04,13204.979999999994,22:22:08,63.96
ID3172969604,1,4,1,-37.8124211,145.0098233,-37.8200259,144.9718506,4606.0,2018-02-30,15:06:19,1150.9799999999998,15:25:29,15.82
ID3598793796,1,5,8,-37.8033447,144.9368512,-37.807202,145.0266373,8986.0,2018-01-11,21:16:39,2303.16,21:55:02,27.82
ID3944723495,1,5,4,-37.8110356,144.9290744,-37.8104777,145.0032768,7568.0,2018-02-19,12:09:25,1908.6600000000005,12:41:13,19.04
ID5838918408,2,5,8,-37.8052525,144.9260628,-37.8158343,145.04645,10954.0,2018-02-30,10:36:08,3107.579999999999,11:27:55,220.74
ID1165976400,0,1,4,-37.8011582,144.9576924,-37.8108985,144.9966202,3991.0,2018-06-31,02:00:50,950.5199999999999,2:16:40,13.13
ID3545614835,1,5,8,-37.7999235,144.9350643,-37.8158343,145.04645,12228.0,2018-07-26,13:37:19,3366.42,14:33:25,25.49
ID1220850781,0,3,7,-37.8251917,144.9668485,-37.8618349,144.905716,8006.0,2018-05-20,11:18:59,2787.72,12:05:26,13.82
ID3498131644,1,5,4,-37.8163702,144.9286073,-37.8000195,145.0055703,8733.0,2018-05-21,23:49:26,2287.680000000001,0:27:33,27.03
ID3787548200,1,9,1,-38.1109156,144.6541725,-37.8189635,144.9541299,42473.0,2018-04-31,19:57:13,10227.899999999998,22:47:40,54.32
ID1366217301,0,3,2,-37.8223062,144.9967359,-37.8208445,144.9475536,4747.0,2018-05-16,19:53:15,1159.7400000000002,20:12:34,9.43
ID3569857757,1,9,5,-38.1109156,144.6541725,-37.8079663,144.9339219,43144.0,2018-02-24,21:15:12,10330.199999999995,0:07:22,64.05
ID3263377682,1,6,7,-37.7908183,144.9857929,-37.8618349,144.905716,11712.0,2018-02-11,07:06:59,3717.4800000000005,8:08:56,25.91
ID1456908690,0,9,1,-38.1109156,144.6541725,-37.8087969,144.9362431,42894.0,2018-04-31,01:34:29,10268.939999999995,4:25:37,30.09
ID3980764196,1,3,5,-37.8243669,144.9827426,-37.8051279,144.9305831,5949.0,2018-03-27,19:53:44,1500.2399999999998,20:18:44,15.52
ID1605791865,0,1,5,-37.8120046,144.9533889,-37.8106763,144.9260252,2896.0,2018-06-31,10:18:03,736.5599999999998,10:30:19,3.73
ID1427616296,0,5,9,-37.80522,144.9255324,-38.1109156,144.6541725,43917.0,2018-04-31,12:40:41,10511.939999999999,15:35:52,21.71
ID3777877270,1,6,5,-37.773845,144.9836895,-37.8053022,144.9348055,7060.0,2018-06-31,21:22:53,1557.0599999999995,21:48:50,28.45
ID3231117916,1,4,6,-37.7998614,144.9932054,-37.773845,144.9836895,5492.0,2018-05-09,20:17:04,1175.3400000000001,20:36:39,15.98
ID3808096010,1,8,6,-37.8158343,145.04645,-37.7874421,144.9804091,8357.0,2018-02-07,17:10:00,2437.38,17:50:37,22.29
ID5671489582,2,1,5,-37.809687,144.9636474,-37.8160858,144.9287497,4254.0,2018-07-24,14:49:17,1098.8400000000004,15:07:35,94.2
ID1357622559,0,6,9,-37.7908183,144.9857929,-38.1109156,144.6541725,47186.0,2018-05-18,04:49:29,11418.06,7:59:47,29.17
ID1799438296,0,2,9,-37.8136243,144.9410558,-38.1109156,144.6541725,42272.0,2018-07-17,01:51:19,10130.939999999999,4:40:09,25.88
ID1441883671,0,4,6,-37.8132128,145.0108971,-37.7907967,144.985865,4621.0,2018-06-11,19:56:13,1266.24,20:17:19,7.62
ID3857399084,1,5,7,-37.8131622,144.9335246,-37.8618349,144.905716,11339.0,2018-05-25,11:33:48,3708.3,12:35:36,21.02
ID5689961326,2,3,2,-37.8247274,144.9848899,-37.8127591,144.9413676,4837.0,2018-01-01,07:27:54,1168.3200000000002,7:47:22,88.63
ID1398527327,0,7,3,-37.8618349,144.905716,-37.8185075,144.9909062,9842.0,2018-07-17,05:10:40,3154.4999999999995,6:03:14,13.89
ID5658210990,2,8,6,-37.8158343,145.04645,-37.7874325,144.9803767,8361.0,2018-02-02,00:06:38,2438.2200000000003,0:47:16,194.73
ID5500891072,2,6,2,-37.7907967,144.985865,-37.8142368,144.9372396,6431.0,2018-02-12,15:17:24,1741.2599999999998,15:46:25,138.11
ID5677541530,2,8,3,-37.807202,145.0266373,-37.8097941,144.9931233,3585.0,2018-01-27,18:02:31,879.48,18:17:10,89.71
ID1600001918,0,9,5,-38.1109156,144.6541725,-37.8052062,144.933888,43483.0,2018-02-02,05:03:00,10422.359999999999,7:56:42,25.98
ID3132569541,1,3,2,-37.8229212,144.9874797,-37.8213426,144.9463561,4071.0,2018-04-27,21:14:50,1021.1400000000002,21:31:51,20.83
ID1744755914,0,6,2,-37.7738026,144.9836466,-37.8137147,144.9402116,9588.0,2018-06-08,03:50:20,2905.859999999999,4:38:45,15.67
ID1187019182,0,8,3,-37.8158343,145.04645,-37.8096129,144.9913663,4906.0,2018-02-24,03:24:37,1505.0399999999997,3:49:42,18.58
ID1681826211,0,7,3,-37.8618349,144.905716,-37.8242258,144.9866885,9022.0,2018-06-25,19:39:13,2979.8399999999997,20:28:52,10.63
ID1709727862,0,1,2,-37.8205124,144.9526916,-37.8131872,144.9399364,1677.0,2018-02-23,23:53:45,430.44000000000005,0:00:55,11.72
ID3112318051,1,2,3,-37.8153997,144.9378383,-37.8188007,144.9721113,3708.0,2018-06-28,22:13:57,899.1000000000004,22:28:56,20.29
ID3630519843,1,3,2,-37.8184589,145.0076859,-37.8155051,144.935688,7278.0,2018-02-14,23:03:23,1817.6399999999996,23:33:40,25.76
ID5571452137,2,4,5,-37.8120044,145.015264,-37.7996759,144.9274691,8595.0,2018-05-22,06:50:46,2148.0,7:26:34,156.08
ID3950465136,1,1,9,-37.8127385,144.9650912,-38.1109156,144.6541725,43641.0,2018-05-25,23:24:42,10495.38,2:19:37,61.06
ID1411567851,0,4,2,-37.8007693,144.9952303,-37.8160229,144.9383031,6090.0,2018-07-23,09:52:25,1555.68,10:18:20,5.29
ID1963205627,0,5,2,-37.8102304,144.9305611,-37.8208847,144.9474135,3037.0,2018-02-14,19:15:03,784.26,19:28:07,9.57
ID1454750159,0,9,4,-38.1109156,144.6541725,-37.8042304,144.9947019,46832.0,2018-05-20,09:26:18,11350.620000000004,12:35:28,25.17
ID1370727948,0,7,1,-37.8618349,144.905716,-37.8002304,144.9432404,10702.0,2018-05-24,18:40:33,3492.8399999999956,19:38:45,12.07
ID1880844332,0,3,6,-37.8136487,144.9730863,-37.773845,144.9836895,4882.0,2018-07-18,08:36:29,1004.04,8:53:13,5.42
ID3443677571,1,1,7,-37.8052589,144.9692308,-37.8618349,144.905716,9416.0,2018-05-22,08:26:08,3155.88,9:18:43,17.2
ID1735865409,0,5,3,-37.7989053,144.9198257,-37.8121265,144.9737639,5804.0,2018-05-20,17:05:05,1356.4200000000005,17:27:41,14.79
ID3800754005,1,2,4,-37.8181022,144.9485729,-37.800225,145.00961,6929.0,2018-05-27,19:06:59,1797.4200000000003,19:36:56,22.91
ID1935578251,0,5,4,-37.8083191,144.9363986,-37.8142125,145.0116775,7522.0,2018-06-17,20:08:40,1880.28,20:40:00,15.12
ID5284453282,2,3,6,-37.8125168,144.9740097,-37.7907967,144.985865,3136.0,2018-06-07,11:24:12,908.8799999999999,11:39:20,72.89
ID3492563541,1,6,4,-37.7907967,144.985865,-37.8019774,145.0155861,4259.0,2018-02-14,14:44:58,1224.06,15:05:22,15.75
ID3431417845,1,5,2,-37.80555,144.9353969,-37.8259216,144.9342038,2665.0,2018-05-14,21:59:03,745.6199999999999,22:11:28,19.23
ID1732906231,0,2,4,-37.821095,144.947614,-37.8098489,144.993852,4658.0,2018-07-06,09:30:00,1254.6000000000006,9:50:54,4.09
ID1203037247,0,4,3,-37.8007577,145.0054439,-37.8196559,144.9686385,5372.0,2018-04-20,03:20:19,1260.0599999999997,3:41:19,13.78
ID1250869525,0,7,3,-37.8618349,144.905716,-37.8206783,144.9793054,8777.0,2018-05-04,05:58:33,2944.74,6:47:37,15.46
ID3462069559,1,1,4,-37.8201245,144.9583277,-37.7973074,145.0090702,6091.0,2018-07-09,16:16:44,1614.0600000000002,16:43:38,20.11
ID3129470521,1,8,3,-37.8158343,145.04645,-37.8233154,144.9936838,5832.0,2018-01-02,14:50:29,1760.0400000000004,15:19:49,17.84
ID5395350990,2,6,3,-37.7874421,144.9804091,-37.8131757,144.9739629,2995.0,2018-01-02,16:38:35,769.92,16:51:24,73.29
ID1767192212,0,5,2,-37.7993535,144.9277558,-37.8090616,144.9289401,2158.0,2018-03-19,16:42:41,595.6800000000001,16:52:36,8.39
ID1434672534,0,8,4,-37.807202,145.0266373,-37.8159318,145.0135796,2878.0,2018-02-01,21:43:54,689.7599999999998,21:55:23,11.42
ID5180957910,2,2,4,-37.8155045,144.9377081,-37.8097448,144.9931259,5268.0,2018-03-13,14:43:07,1290.3600000000004,15:04:37,107.7
ID1595158343,0,4,6,-37.8098465,145.0028962,-37.7908183,144.9857929,3616.0,2018-01-04,05:44:48,917.2200000000001,6:00:05,13.03
ID1480209890,0,7,6,-37.8618349,144.905716,-37.7874325,144.9803767,11633.0,2018-05-07,01:34:57,3645.299999999998,2:35:42,15.6
ID3388954259,1,3,9,-37.8216271,144.9893759,-38.1109156,144.6541725,45914.0,2018-07-02,10:44:54,11044.619999999999,13:48:58,52.57
ID3126603751,1,4,7,-37.8004188,145.0100791,-37.8618349,144.905716,12662.0,2018-03-01,19:52:43,4071.6000000000013,21:00:34,28.23
ID1762199801,0,8,6,-37.807202,145.0266373,-37.7874325,144.9803767,5793.0,2018-03-04,16:18:57,1493.5200000000002,16:43:50,14.95
ID3739581978,1,3,2,-37.8246293,144.9888236,-37.8128014,144.9427053,5542.0,2018-05-02,14:41:44,1173.9000000000003,15:01:17,15.86
ID3672093038,1,1,5,-37.8214213,144.9639248,-37.7987409,144.9359,5909.0,2018-02-03,01:14:30,1443.54,1:38:33,27.1
ID3268263687,1,3,4,-37.8241449,144.990571,-37.8009025,144.9879895,3182.0,2018-04-20,11:41:12,808.9799999999999,11:54:40,8.4
